index,timestamp,sof,eof,exposure_time,offset,length
0000000173,62505475,62505574,62540597,99,1727922616,9987992
0000000174,62555463,62555562,62590585,99,1737910608,9987992
0000000175,62605451,62605550,62640573,99,1747898600,9987992
0000000176,62655439,62655538,62690561,99,1757886592,9987992
0000000177,62705427,62705526,62740549,99,1767874584,9987992
0000000178,62755415,62755514,62790537,99,1777862576,9987992
0000000179,62805403,62805502,62840525,99,1787850568,9987992
0000000180,62855390,62855489,62890512,99,1797838560,9987992
0000000181,62905378,62905477,62940500,99,1807826552,9987992
0000000182,62955366,62955465,62990488,99,1817814544,9987992
0000000183,63005354,63005453,63040476,99,1827802536,9987992
0000000184,63055342,63055441,63090464,99,1837790528,9987992
0000000185,63105330,63105429,63140452,99,1847778520,9987992
0000000186,63155318,63155417,63190440,99,1857766512,9987992
0000000187,63205305,63205404,63240427,99,1867754504,9987992
0000000188,63255293,63255392,63290415,99,1877742496,9987992
0000000189,63305281,63305380,63340403,99,1887730488,9987992
0000000190,63355269,63355368,63390391,99,1897718480,9987992
0000000191,63405257,63405356,63440379,99,1907706472,9987992
0000000192,63455245,63455344,63490367,99,1917694464,9987992
0000000193,63505233,63505332,63540355,99,1927682456,9987992
0000000194,63555221,63555320,63590343,99,1937670448,9987992
0000000195,63605208,63605307,63640330,99,1947658440,9987992
0000000196,63655196,63655295,63690318,99,1957646432,9987992
0000000197,63705184,63705283,63740306,99,1967634424,9987992
0000000198,63755172,63755271,63790294,99,1977622416,9987992
0000000199,63805160,63805259,63840282,99,1987610408,9987992
