index,timestamp,offset,length
0000006469,62135581,808521496,124984
0000006470,62136834,808646480,124984
0000006471,62138087,808771464,124984
0000006472,62139340,808896448,124984
0000006473,62140593,809021432,124984
0000006474,62141845,809146416,124984
0000006475,62143098,809271400,124984
0000006476,62144351,809396384,124984
0000006477,62145604,809521368,124984
0000006478,62146857,809646352,124984
0000006479,62148110,809771336,124984
0000006480,62149363,809896320,124984
0000006481,62150616,810021304,124984
0000006482,62151869,810146288,124984
0000006483,62153122,810271272,124984
0000006484,62154389,810396256,124984
0000006485,62155699,810521240,124984
0000006486,62157008,810646224,124984
0000006487,62158318,810771208,124984
0000006488,62159628,810896192,124984
0000006489,62160938,811021176,124984
0000006490,62162248,811146160,124984
0000006491,62163558,811271144,124984
0000006492,62164868,811396128,124984
0000006493,62166177,811521112,124984
0000006494,62167487,811646096,124984
0000006495,62168797,811771080,124984
0000006496,62170107,811896064,124984
0000006497,62171417,812021048,124984
0000006498,62172727,812146032,124984
0000006499,62174036,812271016,124984
0000006500,62175346,812396000,124984
0000006501,62176656,812520984,124984
0000006502,62177966,812645968,124984
0000006503,62179276,812770952,124984
0000006504,62180557,812895936,124984
0000006505,62181810,813020920,124984
0000006506,62183063,813145904,124984
0000006507,62184316,813270888,124984
0000006508,62185569,813395872,124984
0000006509,62186822,813520856,124984
0000006510,62188075,813645840,124984
0000006511,62189328,813770824,124984
0000006512,62190580,813895808,124984
0000006513,62191833,814020792,124984
0000006514,62193086,814145776,124984
0000006515,62194339,814270760,124984
0000006516,62195592,814395744,124984
0000006517,62196845,814520728,124984
0000006518,62198098,814645712,124984
0000006519,62199351,814770696,124984
0000006520,62200604,814895680,124984
0000006521,62201857,815020664,124984
0000006522,62203109,815145648,124984
0000006523,62204377,815270632,124984
0000006524,62205686,815395616,124984
0000006525,62206996,815520600,124984
0000006526,62208306,815645584,124984
0000006527,62209616,815770568,124984
0000006528,62210926,815895552,124984
0000006529,62212236,816020536,124984
0000006530,62213546,816145520,124984
0000006531,62214855,816270504,124984
0000006532,62216165,816395488,124984
0000006533,62217475,816520472,124984
0000006534,62218785,816645456,124984
0000006535,62220095,816770440,124984
0000006536,62221405,816895424,124984
0000006537,62222714,817020408,124984
0000006538,62224024,817145392,124984
0000006539,62225334,817270376,124984
0000006540,62226644,817395360,124984
0000006541,62227954,817520344,124984
0000006542,62229264,817645328,124984
0000006543,62230545,817770312,124984
0000006544,62231798,817895296,124984
0000006545,62233051,818020280,124984
0000006546,62234304,818145264,124984
0000006547,62235557,818270248,124984
0000006548,62236810,818395232,124984
0000006549,62238063,818520216,124984
0000006550,62239315,818645200,124984
0000006551,62240568,818770184,124984
0000006552,62241821,818895168,124984
0000006553,62243074,819020152,124984
0000006554,62244327,819145136,124984
0000006555,62245580,819270120,124984
0000006556,62246833,819395104,124984
0000006557,62248086,819520088,124984
0000006558,62249339,819645072,124984
0000006559,62250592,819770056,124984
0000006560,62251844,819895040,124984
0000006561,62253097,820020024,124984
0000006562,62254364,820145008,124984
0000006563,62255674,820269992,124984
0000006564,62256984,820394976,124984
0000006565,62258294,820519960,124984
0000006566,62259604,820644944,124984
0000006567,62260914,820769928,124984
0000006568,62262224,820894912,124984
0000006569,62263533,821019896,124984
0000006570,62264843,821144880,124984
0000006571,62266153,821269864,124984
0000006572,62267463,821394848,124984
0000006573,62268773,821519832,124984
0000006574,62270083,821644816,124984
0000006575,62271393,821769800,124984
0000006576,62272702,821894784,124984
0000006577,62274012,822019768,124984
0000006578,62275322,822144752,124984
0000006579,62276632,822269736,124984
0000006580,62277942,822394720,124984
0000006581,62279252,822519704,124984
0000006582,62280533,822644688,124984
0000006583,62281786,822769672,124984
0000006584,62283039,822894656,124984
0000006585,62284292,823019640,124984
0000006586,62285545,823144624,124984
0000006587,62286797,823269608,124984
0000006588,62288050,823394592,124984
0000006589,62289303,823519576,124984
0000006590,62290556,823644560,124984
0000006591,62291809,823769544,124984
0000006592,62293062,823894528,124984
0000006593,62294315,824019512,124984
0000006594,62295568,824144496,124984
0000006595,62296821,824269480,124984
0000006596,62298074,824394464,124984
0000006597,62299326,824519448,124984
0000006598,62300579,824644432,124984
0000006599,62301832,824769416,124984
0000006600,62303085,824894400,124984
0000006601,62304352,825019384,124984
0000006602,62305662,825144368,124984
0000006603,62306972,825269352,124984
0000006604,62308282,825394336,124984
0000006605,62309592,825519320,124984
0000006606,62310902,825644304,124984
0000006607,62312211,825769288,124984
0000006608,62313521,825894272,124984
0000006609,62314831,826019256,124984
0000006610,62316141,826144240,124984
0000006611,62317451,826269224,124984
0000006612,62318761,826394208,124984
0000006613,62320071,826519192,124984
0000006614,62321380,826644176,124984
0000006615,62322690,826769160,124984
0000006616,62324000,826894144,124984
0000006617,62325310,827019128,124984
0000006618,62326620,827144112,124984
0000006619,62327930,827269096,124984
0000006620,62329239,827394080,124984
0000006621,62330521,827519064,124984
0000006622,62331774,827644048,124984
0000006623,62333027,827769032,124984
0000006624,62334280,827894016,124984
0000006625,62335532,828019000,124984
0000006626,62336785,828143984,124984
0000006627,62338038,828268968,124984
0000006628,62339291,828393952,124984
0000006629,62340544,828518936,124984
0000006630,62341797,828643920,124984
0000006631,62343050,828768904,124984
0000006632,62344303,828893888,124984
0000006633,62345556,829018872,124984
0000006634,62346809,829143856,124984
0000006635,62348061,829268840,124984
0000006636,62349314,829393824,124984
0000006637,62350567,829518808,124984
